更新时间,#genre#
20250114-06-13-56,url


speed,RespoTime,whitelist,#genre#
64938.6KB/S,100.71ms,CGTN俄语,https://0472.org/hls/cgtne.m3u8
58900.0KB/S,114.17ms,CGTN法语,https://0472.org/hls/cgtnf.m3u8
5490.6KB/S,121.47ms,CGTN英语,https://0472.org/hls/cgtn.m3u8
1710.5KB/S,104.85ms,CGTN阿语,https://0472.org/hls/cgtna.m3u8
1160.3KB/S,106.35ms,CGTN记录,https://0472.org/hls/cgtnd.m3u8
706.7KB/S,1995.82ms,浙江经济,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
696.5KB/S,2052.84ms,浙江国际,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
693.0KB/S,2004.79ms,浙江教科,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
675.2KB/S,2050.99ms,浙江钱江,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
663.5KB/S,2013.03ms,之江纪录,https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
642.8KB/S,2009.78ms,浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
526.3KB/S,131.54ms,CGTN西语,https://0472.org/hls/cgtnx.m3u8
483.9KB/S,2004.41ms,浙江新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
243.1KB/S,1999.74ms,浙江民生,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
