更新时间,#genre#
20250111-06-14-09,url


blacklist,#genre#
CCTV-1-148.135,http://148.135.93.213:81/live.php?id=cctv1
CCTV-1cm,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV-1cm,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226016/index.m3u8
CCTV-1hulun-gaoma,http://hulun.top:35455/gaoma/cctv1.m3u8
CCTV-1z.b-1,http://z.b.bkpcp.top/m.php?id=cctv1
CCTV-2z.b-2,http://go.bkpcp.top/mg/cctv2
playlist,https://stream.qhbtv.com/adws/playlist.m3u8
湖南卫视,http://222.134.245.16:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
