更新时间,#genre#
20250108-16-51-21,url


blacklist,#genre#
CCTV-1cm,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV-1cm,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226016/index.m3u8
CCTV-1hulun-gaoma,http://hulun.top:35455/gaoma/cctv1.m3u8
CCTV-1z.b-gaoma,http://z.b.bkpcp.top/m.php?id=cctv1
CCTV-2z.b-gaoma,http://z.b.bkpcp.top/m.php?id=cctv2
CCTV-MIGU,https://hlszymgsplive.miguvideo.com/wd_r2/cctv/cctv1hd/600/index.m3u8?msisdn=207e67fd-6073-4ba5-9785-e914928026ea&mdspid=&spid=699004&netType=0&sid=2201057821&pid=2028597139&timestamp=20250108133803&Channel_ID=0131_100300010010001&ProgramID=608807420&ParentNodeID=-99&assertID=2201057821&client_ip=240e:453:de47:b7bd:8de8:a25b:8e77:6e3&SecurityKey=20250108133803&promotionId=&mvid=2201057821&mcid=500020&playurlVersion=WX-A1-7.12.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&tid=h5&conFee=0&encrypt=f872626188a5d57513b478d881d648e0&sv=10000&ct=h5
playlist,https://stream.qhbtv.com/adws/playlist.m3u8
湖南卫视,http://221.224.4.170:1111/tsfile/live/0128_1.m3u8
