更新时间,#genre#
20250107-15-52-11,url


speed,RespoTime,whitelist,#genre#
311.6KB/S,1190.27ms,CCTV-3综艺,http://39.134.136.161:6610/000000001000/8378175926191110263/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=8378175926191110263
320.6KB/S,888.13ms,湖南卫视,http://222.134.245.16:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
374.5KB/S,561.65ms,湖南卫视,http://101.65.33.225:9901/tsfile/live/0019_1.m3u8
433.9KB/S,1035.06ms,CCTV-3综艺,http://39.134.136.161:6610/000000001000/1000000001000011218/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000001000011218
856.5KB/S,886.61ms,湖南卫视,http://222.134.245.16:9901/tsfile/live/0128_1.m3u8
910.2KB/S,1204.04ms,CCTV-3综艺,http://39.134.136.161:6610/000000001000/5000000002000020548/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000002000020548
957.8KB/S,1202.48ms,CCTV-3综艺,http://39.134.136.161:6610/000000001000/1000000005000265003/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000005000265003
1273.2KB/S,499.80ms,湖南卫视,http://221.224.4.170:1111/tsfile/live/0128_1.m3u8
